Id,Titol,Vigent,Sequence
P15iarpXkgNsGqqWNkkzP0s7hlyXD+UUD9hXqenoVHE=,Autorització d'abocament d'aigües residuals a la xarxa de clavegueram,True,55
o30J/UPkNkb9ihfLDTmCA3SGVUqbPjtG5e7JNdaMFDU=,Autorització d'abocament d'aigües residuals amb camió cisterna,True,56
fG8gIozTOYUfKQAIpho8/brMbdFvBdsjfmR4BWifFjA=,Autorització per a l’ús de la Marca,True,57
4eEU7XxcaSRPrxPNNzwCzhRSjqtYiRd7FgpRFCjoY9E=,Autorització per a l’ús esporàdic de la Marca,True,58
ABTPvhUckI1Oz9TO39q7IFIXgPg55byPvTs6JoL30sI=,"Autorització per a la consulta de dades per a procediments d’adjudicació de despesa menor, inferior a 5.000€  IVA (exclòs)",True,59
1QT18KKL7fLKH0crL55ZJY7PnROgkeJt2z7CsJNiEpM=,Autorització prèvia d’obres que afecten a la fauna urbana protegida,True,60
mzmmnMHEfKOUtMB7/8JeJVqHuqmel5GXFVnfEYz1SXU=,Avís d'incidència en la senyalització de la via pública,True,61
u+rzTEruS2nK0+GVomDQm30dS9a0JuLWeUOno/G864s=,Avís d'incidència en semàfors de la via pública,True,62
MMEzNDZ8B6rUkYKPAWbsMZpivOl524KHf6YYW4E/Fds=,Baixa al Padró Municipal d'Habitants,True,63
Pu/4PY0TClHHKtWXxz2Vr/D0A+Ic1iPxJlhu73iBW9g=,Baixa al Registre municipal d'unions estables en parella,True,64
3Zvx8B/3B4C3bLO+B/b2CLEN2QDB7HbHcgoz3Mx/j5A=,Baixa d'alumnes inscrits a les Escoles Esportives Municipals. Curs 2023/2024,True,65
5q9xvTw1AHC14lBvuZJuEwJH/hEqMOzUznsUaYifj3k=,Baixa d'alumnes inscrits al Programa d'Activitats Esportives Extraescolars Curs 2024/2025,True,66
UWdGlNU9P1tLM/u58oD1Fy5ybUpTrR4CNpzl1TpKETw=,Baixa de parada en el Mercat Central de Fruites i Verdures,True,67
5LJf5Piekn+pWF8kLV1ClpZq9Jxr/AQzmUK0SNYcv1U=,Baixa de parada en un mercat ambulant,True,68
fkVUe72jP1DIl8PPrWJMzcaYQhuRwomwCsPGP1RWzJ4=,Baixa de parada en un mercat municipal,True,69
k58HteP5BrjXHxvFII8XrI1H3OGw2enHtZKJeIlPSV4=,Banc de Recursos,True,70
roQWmSiOoFhr3z1jPbQCpOH381LYwwFfHflnzwaVb6o=,"Bonificació de l’impost a favor d’immobles corresponents a edificacions de naturalesa rústica, afectades pel procés de regularització cadastral",True,71
lOFwPU5Xari6jQVmGoV4ZjRbsR180r+xa7wiJ+3+uNw=,Bonificació de la quota de l'IBI per la instal·lació de plaques fotovoltaiques,True,72
XGfsXjAEmuOokSaJtdU8cb9IxtGHTZcMp6b04JLwgtM=,Bonificació de l'impost de circulació per antiguitat del vehicle,True,73
JDGd8VhO8cI7Aw7m3/t/xDBpu9j5e8e0K1Amx2F/7uo=,Bonificació de l'Impost sobre Vehicles de Tracció Mecànica per etiqueta ambiental del vehicle o per vehicles tipus turismes que justifiquin la instal·lació d’un catalitzador o un sistema que redueixi fins als límits legals l’emissió de CO2,True,74
w4rSnRJzRLXJTpwZ29avdGJYy03ZyiNR081gBxM0+bE=,Bonificació sobre la quota de l'IBI: per habitatges situats a sòl rústic,True,75
SblG9suwqQ1NwLVEsjgunLBJ3SfuOKCBGbfGp9aJKr4=,Bonificacions en les targetes de transport públic per a persones amb discapacitat,True,76
+1JQhTbg4lgyTIo1IfnXsGHt0uVmFQui/PprXOhQCOQ=,"Bonificacions per a estudiants, de 16 a 21 anys, dels centres d’educació especial de la ciutat",True,77
j2dC8ORe/UWMqgf/sYOi5AVzHp1Df1gPBmPQKaDy6hY=,Borsa de treball Tècnic/a Salut Pública,True,78
kV+CGctOTul7nRnJOCJDSeX5AwJCKEY461TKFgU3Z2I=,Borsa treball monitors esports,True,79
/o5VxteIj4P6dGS1H8PcQRV1u4NwtgIiJ6jpDu1D4hw=,Bústia ciutadana,True,80
uhZqrmTdHoo9mGMiwfBGB2egEP/eNjBpQGjT1rcKGQY=,Butlletí electrònic de la Regidoria de Polítiques Feministes,True,81
tEPB++QTF9UfKFJtwXk1qnsE+sJFiJrldgtQakKV0tY=,Caminar és fer Salut,True,82
vMP8e9UVbee7H/T9yRIfEV+6P5UJrnACMVRwHVaMlac=,Canal de denúncies ciutadanes,True,83
JTWw7cdWhuzGPUvH6ja1zRVYDLrcQaZ/I8FQAUv3rgE=,Canvi climàtic: causes i conseqüències,True,84
URWHs/n/T+WSn08H/ORIcMG9UEa/BBd+4DR58Hjf390=,Canvi de beneficiari per decisió del titular,True,85
niPbqFuPm4EFtQIs2qZ8K+CNzkDwkPceV3Ikq6vHzKE=,"Canvi de dades fiscals (adreça, telèfon i correu electrònic)",True,86
ityv15xgI1ShBC8UTdAsL/4xSBmvOogbBUQdLCHivrA=,Canvi de dades personals i/o canvi de domiciliació bancària,True,87
x5KAnC42N3i37dQBiQfVE/vyc2Kk2qiPGuqKExlhW7U=,Canvi de domicili al Padró Municipal d'Habitants,True,88
2VziTnNcOEjz0eJltsX6I8ofI8jPL5W5z+tpe7RnH4o=,Canvi de material en llicències de taxi,True,89
g2WNBeVVPvl6ygYIf9bHNcAdPvEnwZPAEdTrHd2WEQA=,Canvi de nom de parada en el Mercat Central de Fruites i Verdures,True,90
V/sH8su2/+hPlCzkDCXG17uGFaIX92YXz5ixGLEzPEo=,Canvi de nom de parada en un mercat ambulant,True,91
nJI/TKC2UEa7U6uTc3HpVIS8aficySR509gjo0/ae0E=,Canvi de titular,True,92
WKRfUgi5+d3eNAFkj73KoG4K5EsFm/4YLEa9+i1UIlo=,Canvi d'ubicació o ampliació de parada en el Mercat Central de Fruites i Verdures,True,93
UvaSRWCTAjlCAwbMhVSmqJVeshdosF0Z6x1Fq9sXsC4=,Canvi d'ubicació o ampliació de parada en un mercat ambulant,True,94
KJcfvEjncxda+wpDvMIEUa6LTPG5BQrQ0EuNKDfuGtM=,"Censar, modificar dades o donar de baixa un animal de companyia al Registre Municipal d'Animals de Companyia",True,95
uOTLXvLAOTybbMbkIfS0qpr1WtnIRw0Vt5ciYfH9kb8=,Centre Municipal d'Informació i Atenció a les dones,True,96
1UHG4CqK3H3c+K8oUlXezIfmeuepDjYkoQFaimOqhK8=,Centres de dia municipals per a gent gran,True,97
uWLq9zLjbGbuLn4xm5RP4vp7l0zoeHJ23P74b2Ws94Y=,Centres de Persones Grans,True,98
CXci+G5DHk5g9N4VP8gZpjPlxbQ55J1V5VRXauGS+QM=,Certificat acreditatiu de la inscripció en el Registre municipal d'unions estables en parella,True,99
KZT15rUnN/tc3Ao55Kalteabs1NirmZ+E1n5WzWHwJw=,Certificat d'aprofitament urbanístic,True,100
YxR+lDoFqAeIl8IoXE8hmy//ZWax6q97gGGrnE3qbro=,Certificat de dades del registre d’activitats,True,101
FKCtMWPFSZssfgm52D0i+zLmIC8QGW5BiauNKSvNjzs=,Certificat de pagament de tributs municipals,True,102
B2+3eBtBS5YNDdNNtXIYzONvnmUColyw3VK9gJsZvIk=,Certificat digital idCAT,True,103
8lDw4xWt9nDupXSCklesmSTFyb5AL82nLym27mn9AyA=,Certificat negatiu de deute,True,104
8KiBELIkMWt/c0viQeowIBwHkXxoqz7hr2yU84305iU=,Certificat negatiu de la inscripció en el Registre municipal d'unions estables en parella,True,105
Vzk1CNlByS9DI9v+P2GjtoFXwu4gz7LOGDgq843d2Y8=,"Certificat per treballar amb menors -  Certificació negativa de delictes de naturalesa sexuals, certificació negativa del Registre Central d'Antecedents Penals",True,106
/G7JgOWHzNkVUDM/pT0ZHAC6igSeC+EtcTenAR10EMQ=,Certificats del padró d'habitants. Expedició automàtica,True,107
kZo029QxQ/wdZrLs1Gqvce2e97DUk/hiCOLnut57bZw=,Cessió de dades personals al Padró Municipal d'Habitants,True,108
JqSth5gKEJoG+MV5hunPheFegwSEVjlQlLYlqytlMn4=,Cessió de la llicència de taxi,True,109
/H580/Kb0mC56bGtqZlmQyePH1qgeLRqPBwuLZYZBIE=,Cessió de llicència privativa d'ús de parada o local en règim d'arrendament en un mercat municipal,True,110
WSz+cqp76jqjmiUUJX4ERXWcjzjHriSdI3FYo1yutkM=,Cessió d'ús del dret funerari,True,111
FmTlTmeWZg8aSlapIXXdcl/SNGgQkaJQXenynDWM3Ow=,Ciberaula Municipal,True,112
U94mIL+pjgY/xXWrzuBOaGN22LZLg3VGVBQ4jXpbS3U=,Cita Oficina de Gestió i Atenció Tributària,True,113
28gCU7TlV43mJ2xFHaIxwmiR3BzTA6is+s5Y35NHFsY=,Com fer compostatge domèstic. Pas a pas,True,114
cRZuOW2Z0nGzSdFYdX6eE7/0YlT84u5LfT2rjc7e/lY=,Com fer compostatge domèstic. Pas a Pas - Inscripció a la campanya,True,115
RrNzgF26G91AljdUfkJMWK5TAAPLPR75ifH48cCBikw=,Com fer el pagament de multes de circulació,True,116
CCeUm7mpv9a11k+duqLXcT7K++dg6se9n6mGCRbl3TY=,Com fer el pagament de tributs,True,117
TUSPQNkm/8tvoRiLkKfWNdZt9avIcX7AGMDJQ6U04bE=,Comprovació de la inscripció en el Padró Municipal d'Habitants,True,118
aF28+4HPSE66ileUZ6JorC+l51WH0B9M5dDTTpGknFc=,"Comunicació d’instal·lació, manteniment i control de torres de refrigeració i condensadors evaporatius",True,119
Uon/hvIPEEQTscvURwvo/igku094PQTSZqtr9q2Tcyc=,Comunicació de baixa d'activitat,True,120
3UPs8Ec8pgmpKmleUzPZ8fnBzfpzQAXWHci+OeTIOV4=,Comunicació de canvi de titular (transmissió d'una activitat),True,121
W5qy0NAWZ2j96403/P6D9KJ/rdiAREdfoQRG19sTK38=,Comunicació de canvi de titular (transmissió d'una activitat). Amb autoliquidació,True,122
0syvMyesD4GWxe6sWTaYIUvvhRftrmNA9oEXyVXo278=,Comunicació de control d'un expedient d'activitats,True,123
ITjVmc1qpfpPh2n1JJL+sX7fGxnJoP09t3ibyTygjf8=,Comunicació de control inicial d’un expedient d’activitats,True,124
uclZO6zcOo7lfRVc6GZITluC+st2p78WpXJsmqqPzkA=,Comunicació de control periòdic d’un expedient d’activitats,True,125
0UT3E4tZ6ZQfao/9IwTcEWUnyEIEtOpdA9Dz/sf/wyQ=,Comunicació de control periòdic d’un expedient d’activitats (amb autoliquidació),True,126
HHhLIS45hnV7syR0NjH4nmCzlx3kbBXe3G8wxaxxloA=,Comunicació de l'activitat de publicitat dinàmica,True,127
1hvim4wTH/HbwOfxrmk85JG+O5WdCjNbZ9478ruHXnY=,Comunicació del canvi de domicili del Padró d'Habitants a altres administracions,True,128
lbGzbNNBRei9VKpqeHPRA5+xM9bV265xPQ4p7PiH9u8=,Comunicació d'inici o modificació amb certificat,True,129
O+c0Yd3AXDDyvTEP8JgtVHvFby0KnMyXA1vwlDSlkbo=,Comunicació d'inici o modificació amb certificat (amb autoliquidació),True,130
Q0sFA1FTEFzyka2c6hsM+f8aBLOBGR6irT6AVTrpK1k=,Comunicació d'inici o modificació amb projecte i certificat,True,131
rOdKhfAHspkBh011jYKiWpX612BcqgicvLoXqPUT6p0=,Comunicació d'inici o modificació amb projecte i certificat (amb autoliquidació),True,132
WzA4Xo5tO9h0fOzl4DgtztWWH1Kt+NVyV/LotMGErvk=,Comunicació prèvia ambiental de inici o modificació,True,133
UFo7YbNLxp900X68ysk/Lb4HGkw5SEhb2WoYZGDO3Y8=,Comunicació prèvia ambiental d'inici o modificació (amb autoliquidació),True,134
ypOtChkl/MtEtu7yfN6mMr7pYLyS/SJ0DHXhr0BWlVE=,Comunicació prèvia d'actuacions en directe,True,135
7uThmvwfX8pBkMzBnjrwVL96CRb4AT4ezaaruf+gzLg=,Comunicació prèvia d'actuacions en directe a l'interior de l'establiment,True,136
+gzoIX67Vc3BDtzzSrI8PH2ofTaYmCgjivWJT/o04e4=,Comunicació prèvia d'actuacions en directe a l'interior de l'establiment (amb autoliquidació),True,137
Zs+jngPqMlWp0H6YtgotJ+gzOsahnqg3asyBhxdfO6s=,Comunicació prèvia d'actuacions en directe en terrasses o vetlladors,True,138
5YxiwwMkKYGOPgCxCcP+8CkJIsmKyrNNN9UbOKbZb2U=,Comunicació prèvia d'actuacions en directe en terrasses o vetlladors (amb autoliquidació),True,139
Un6WylEaskzFVeXhs/Hq7qnRI+7Hl23RWaNPxmUa4Pk=,Comunicació prèvia de modificació no substancial d'una activitat amb efectes sobre les persones o el medi ambient,True,140
yj6opM9q9AQ1h1V7utMYvCAsfESBHX7fdWxHTKs0Tk0=,Comunicació prèvia de modificació no substancial d'una activitat amb efectes sobre les persones o el medi ambient (autoliquidació),True,141
EUGUYCD9cTnlwsVdy1T7YiQTRzTHCaySQ5GqBsavzY8=,Comunicació prèvia d'obres,True,142
2Xcma8694gLUzbF894moDZhMNKxdocW7ujCcgdxBs3Q=,Comunicació prèvia d'obres. Modalitat A,True,143
b1kvVJPFFvRhzfa+YwMUvVrjtbIMTuvVJ2l+ld7eCoY=,Comunicació prèvia d'obres. Modalitat B,True,144
z8dHoTJgMMaOc85rzSQyFUiBVWw5dZ4z4dIux9dlQIs=,Comunicació prèvia d'obres. Modalitat C,True,145
w4EcaafdDrVeA5TGIY30bcmAwmebVH3xIF8an/ErK+o=,Comunicació prèvia d'obres. Modalitat D,True,146
Rf4ZolV5G536lJ+7d+BIPWqTADW8st9XkzAb3HcDZ88=,Comunicació prèvia d'obres. Modalitat E,True,147
1V5ROfNCWQgQF1bTglNwfGB+lO0mU4Qg71P+eI/WraU=,Comunicació prèvia d'obres. Modalitat F,True,148
RLcE1idpTwku1WJDaj2xuDNdlCsdwKiEEZ9vY2rvYf4=,Comunicació prèvia d'obres. Modalitat G,True,149
im8hDLzB8riYW1faBL9ar9YdJBtGwDoxoqZRSOD+1dk=,Comunicació prèvia d'obres. Modalitat H,True,150
UrqxryQPs2LyuQGSjMj9g8XFjpyDrIg6rXE/pFnC/zA=,Comunicació prèvia d'obres. Modalitat I,True,151
BpShI7dXX6/qqjCHNHBXX/wlz4sJI36UrCSre2awUaw=,Comunicació prèvia d'obres. Modalitat J,True,152
1b0C6oB6OkFDSX62RkGNvZtju5x+gsGyTkwNU+I90w4=,Comunicació prèvia d'obres. Modalitat K,True,153
2DOrd5wHHjYbtrSvQ+SyTH6HUDID5z+XV/cV8aYOSzs=,Comunicació prèvia d'obres. Modalitat L,True,154
wNQ52JiyhLf/xlPaucty6lkQvKe2z+0dz293CuiBvSw=,Comunicació prèvia d'obres. Modalitat M,True,155
Ek0GUditZ2JaOfq1QDwz1Ge+JKra9X11xB0bHBReEAM=,Comunicació prèvia d'obres. Modalitat N,True,156
rKyj6qLyfyWtywfZ5MQZx4tsyy6ukWxMCO2ssjII/x8=,Comunicació prèvia d'obres. Modalitat O,True,157
rx6cmqE5W77V5D/TPqGD0NpqY8UFam6bjeFsTSM3qrU=,Comunicació prèvia d'obres. Modalitat P,True,158
QIWeUdiZHMUxoEdVhjz6A+E9lsV5NGaBbj/VJmRlA6s=,Comunicació prèvia d'obres. Modalitat Q,True,159
EHa/e8aFElWhQZJilh70lHAjEIzo/aebqxnRLfpIcO4=,Comunicació prèvia d'obres. Modalitat R,True,160
qnxl4IhqluW9VWtXj8Q3wDZR/1AuDxnNEOx0nazgeUY=,Comunicació prèvia municipal d'establiments no permanents desmuntables,True,161
/T8aI0gX1njc+Wn59vo0wY8GbicYbWyV+6TBmDwdAeE=,Comunicació prèvia municipal d'establiments no permanents desmuntables (amb autoliquidació),False,162
jPeqaf+RlPEou4R988+8p4Yzw8ZWZU7uW1V68SR6JDE=,Comunicació prèvia municipal d'establiments oberts al públic d'espectacles públics i activitats recreatives ordinàries,True,163
DRtDegkvpvhLx/MABrFU0VSL+P/PHEMxIhOcYbLQ//U=,Comunicació prèvia per a espectacles públics i activitats recreatives extraordinàries.,True,164
WmPQse24dJhTgGRi1ZIoo6KPbw9yGELY6hzg8p4YQRU=,Comunicació/autorització de crema agrícola,True,165
7j8bB1PJmt6W6IOlnwgWNpwyrylSKNCXFRzqRykhGJs=,Concessió dret d'ús funerari Grups Separats,True,166
yvNEcTy4iLcTfgnMoaiHSBLMCVJNF5lDNSRZSbVG5xU=,Consell de Joves (ESO),True,167
J6YlPd7XW9dfEaLHqXveLitwvKIdJSsDSqhKRTdhLX4=,Consell d'Infants (5è i 6è primària),True,168
lNPF+yYwfcMkCAZ1nwgC+jc1zbO/fH6fuEXc/e+9eM8=,Consell Municipal de les Dones,True,169
F44SENm3hXJFIRNYZb2CgWa7x6bj80HW4eFGVUrprpM=,"Conservatori - Sol·licitud de bonificació per família nombrosa o monoparental, violència de gènere i amb infants amb certificat de reconeixement de discapacitat igual o superior al 65%.",True,170
aEIG/P8zjHspmXVTsJg2v3NN41QLESoVUvu5LOI7EfM=,Consulta d’expedients d’activitats (Secció de Llicències),True,171
4KE5hVcLhuR5hNmelkoQQkHKbY+pYKWx0izJQGdnvxE=,Consulta de dades de rebuts domiciliats,True,172
ngXWcM24ttoDq+uOqAi9wCPJV4E8N5pUHB3ThIYMzsI=,Consulta de fotografies de multes per infraccions,True,173
GgUezjw8lhmTMS+i6JdvyhuY5wOeI2j4fQxLvw9ypPU=,Consulta de les inscripcions fetes a les activitats del programa d'educació,True,174
OwMGwNHm7i5ca1/GxM+w6PTa56KPvOeExwc5FmAeEj8=,Consulta de l'oferta educativa municipal programa d'educació,True,175
jNos9Ffia1hbJvPUnfksa3CFdQR/FUICLjKwijU67Z8=,Consulta de parcel·les d'IBI rústic,True,176
XvXs7UnJuXvXZEG4QR107c4o2TY/uCl7LsD1Y2iJuAY=,"Consulta del procediment, codi i documentació necessària en funció de l'obra",True,177
wJ18n/ggjmWLP/moMrZJeSwrscq7jPFsBj0AVZM7fH0=,Consulta d'expedients d'obres (Secció de Llicències),True,178
hcxF05K/hkfyUbcjmmb8n/70BvWtsKo7GYGxCnqJdSo=,Consulta tècnica d’indústria i activitats,True,179
P4NumIZEplajL//BKzCR8YP5qWc2GfvXIwzENwh7TeE=,Consulta tècnica de llicències i comunicacions d’obres,True,180
PqGp/rVNyEGbDKXsI3o+LNgeP16MlALhYtzycybLTCk=,Consulta Tècnica d'Obres o Activitats,True,181
ij++N3I3k6zqH+iEvYe4dbcg1EKaMPnNFyzHUaXM5wI=,Contingut disponible a  la Seu Electrònica,True,182
PoZ5oOV2AF70vDdccxd5qoSri0d/3MM64P45U5bW/14=,"Convocatòria per a la provisió, pel sistema de lliure designació, del lloc de treball de SECRETARI/ÀRIA GENERAL",False,183
IWxvcKRgG5oke74bN1IMgR7r8zKIB4oZUTHhWEE+F9A=,"Correcció de dades identificatives fiscals (nom, cognom, raó social i identificadors fiscals)",True,184
fuqQJOWE77VdWZGh+M2Z6Ee9Rsu6wFzsBqPUBmtH+S0=,Curs bàsic de formació a cuidadors/es no professionals,True,185
Z5c5HE8EXWfbyJ284dMz5NejLp8cvX5qnjP6wosR5pw=,Cursos de català per a persones adultes,True,186
ZEZyjGJj2ExwcFlXMv1OzJpFMcPq6jNeVeMz2NybUVo=,Dades obertes - col·labora en l'Open Data,True,187
IGW73jL9NdsS5a3hWJU1af5d7h086oQppsaaK9LV/wI=,Declaració responsable per a l'ocupació de l'espai públic per a filmacions,True,188
DEoX162N58nO3cUk50mtMFcymMCYel6URyShbHtv0Xo=,Deixalleries i deixalleries mòbils,True,189
tsqvLgaQV3QO8ir4PI8sIv3zmsdlzpXWpMfWxv+EV2U=,Demanar bonificació per la renovació o sol·licitud del carnet de ludoteques,True,190
DihItvQCgt1zQyuEmIUYu3nUD1oZqsz3DRFfy+JIqjA=,Descobrim el medi ambient a través del joc,True,191
SD3lEngBfK4AzggvBrcSqEXWNZb6KVe6SYDwWmhYXUU=,Descobrim la biodiversitat del nostre pati,True,192
Sa7gUcX1lGGOXBIJb0IktjX1p4s2lxMj4+8YzoCQqxI=,Descobrim la gestió dels residus sòlids urbans,True,193
